Name,Brand,Condition,ROM,Warranty,Min_Price ($),Max_Price ($),Shipment_Cost ($),Sold_Count
Apple iPhone 15 A2846,Apple,Very Good - Refurbished,256GB,0,406.7,406.7,0,102
Apple iPhone 5s AT&T T Mobile A1453,Apple,Pre-Owned,32GB,0,39.99,59.99,0,97
Apple iPhone 11 A2111 Smartphone Good,Apple,Pre-Owned,64GB,0,149.99,199.99,0,0
OnePlus 13 RAM Open Box Return Black,OnePlus,Pre-Owned,256GB,0,549,549,0,0
NEW SAMSUNG GALAXY S20 SM G981U GRAY CDMA,Samsung,Brand New,128GB,0,209.88,209.88,0,3757
NEW Samsung Galaxy A05 A05s A06 A07 A15 A16 A17 A26 A36 A56 D Sim Android phone,Samsung,Brand New,,0,111.53,413.91,0,0
Apple iPhone 14 AT&T T Mobile Verizon,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,276.95,276.95,0,376
iPhone 16 Pro Max Black Titanium,Apple,Open Box,256GB,0,878,878,0,0
Apple iPhone 15 Pro AT&T T Mobile Verizon,Apple,Excellent - Refurbished,512GB,1 YEAR WARRANTY,550.95,550.95,0,99
Samsung Galaxy S21 Plus CDMA In Box,Samsung,Open Box,256GB,0,189.95,189.95,0,67
NEW SAMSUNG GALAXY S21 SM G991U AND CDMA,Samsung,Brand New,,0,199.88,199.88,0,1763
New in Sealed Box Apple iPhone 13 MINI A2481 USA SHIP,Apple,Brand New,256GB,0,336.01,413.11,0,0
Samsung Galaxy S22 Ultra S908U Good,Samsung,Good - Refurbished,256GB,0,286.99,286.99,0,161
Apple iPhone 16,Apple,Excellent - Refurbished,128GB,0,524.99,524.99,0,418
NEW SEALED Samsung Galaxy S20 Plus SM G986U1 CDMA,Samsung,Brand New,128GB,0,181,181,0,13
Tracfone $60 1200 Min 1200 text Data 365–Day Plan Physical Delivery,TracFone,Brand New,,0,60,60,0,2552
Apple iPhone SE 3rd Gen 2022 Used,Apple,Pre-Owned,256GB,0,144.99,149.99,0,120
Apple iPhone 14 Pro Used,Apple,Pre-Owned,,0,359.99,404.99,0,129
Apple iPhone SE 3rd Gen 2022 Used,Apple,Pre-Owned,256GB,0,144.99,149.99,0,120
Google Pixel 6 6a 6 Pro Verizon T Mobile AT&T,Google,Very Good - Refurbished,128GB,0,123.45,213.7,0,278
Apple iPhone 14 Pro Used,Apple,Pre-Owned,,0,359.99,404.99,0,129
Samsung Galaxy S22 S22 Plus S906U Verizon T Mobile Mint Boost AT&T,Samsung,Open Box,,0,169.99,189.99,0,0
Tracfone $60 1200 Min 1200 text Data 365–Day Plan Physical Delivery,TracFone,Brand New,,0,60,60,0,2552
Apple iPhone 14 6 1 US Version,Apple,Excellent - Refurbished,128GB,0,294.99,294.99,0,113
NEW SEALED Samsung Galaxy S20 FE SM G781U1 Smartphone,Samsung,Brand New,128GB,0,165.99,165.99,0,0
Samsung Galaxy S22 S901U,Samsung,Excellent - Refurbished,128GB,0,189.99,189.99,0,438
OPEN BOX Samsung Galaxy S25 SM S931U1 Mint Blue Silver,Samsung,Open Box,128GB,0,479,489,0,40
New Samsung Galaxy S22 Ultra US Compatible with all carriers,Samsung,Brand New,,0,272.99,351.99,0,0
Apple iPhone SE 1st Gen CDMA,Apple,Pre-Owned,128GB,0,54.99,74.99,0,72
NEW Sealed Samsung Galaxy S24 Ultra S22 Ultra S23 Ultra S23 S22 US,Samsung,Brand New,,0,257.11,868.98,0,0
Samsung Galaxy S21 Plus G996U CDMA,Samsung,Brand New,128GB,0,199.99,199.99,0,1037
Apple iPhone 13 Pro 128 256 B Grade,Apple,Very Good - Refurbished,512GB,0,319.99,394.99,0,19
Apple iPhone 14 Plus Mint Midnight Starlight Blue,Apple,Pre-Owned,128GB,0,249,395,0,10
Samsung Galaxy A32 Awesome Black Android Smartphone,Samsung,Pre-Owned,64GB,0,94.06,94.06,33.6,52
Samsung Galaxy S22 Ultra S908U Good,Samsung,Good - Refurbished,128GB,0,257.99,257.99,0,18
Apple iPhone 13,Apple,Excellent - Refurbished,128GB,0,265.99,265.99,0,361
Sealed & New Samsung Galaxy S23 Ultra SM S918U,Samsung,Brand New,256GB,0,428.89,509.89,0,0
Apple iPhone 14 Pro Network,Apple,Excellent - Refurbished,256GB,0,411.43,411.43,0,1490
Xiaomi Poco C65 Black RAM ROM Global NEW,POCO,Brand New,256GB,0,99.97,99.97,0,115
Apple iPhone 14 Plus AT&T T Mobile Verizon,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,297.95,297.95,0,1128
Apple iPhone 13,Apple,Excellent - Refurbished,512GB,0,271.99,271.99,0,122
Apple iPhone 15,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,398.99,398.99,0,466
Apple iPhone 12 A2172 Black Good,Apple,Good - Refurbished,64GB,0,172.99,172.99,0,821
NEW SEALED Samsung Galaxy S22 Ultra S908U,Samsung,Brand New,128GB,0,265.18,278.88,0,0
NEW SAMSUNG GALAXY S22 PLUS SM S906U AND CDMA,Samsung,Brand New,,0,246.88,319.88,0,293
Apple iPhone 15 Pro,Apple,Excellent - Refurbished,512GB,0,583.58,583.58,0,21
Apple iPhone 8 Verizon Tmobile Att,Apple,Pre-Owned,64GB,0,75,136,0,181
✅ NEW Motorola RAZR Plus 2024 XT2451 AT&T T MOBILE 🔓,Motorola,Open Box,256GB,0,409,409,0,48
Samsung Galaxy S21 S991U VERIZON ATT TMOBILE,Samsung,Excellent - Refurbished,128GB,1 YEAR WARRANTY,149.48,169.48,0,1583
Apple iPhone SE 3rd Gen 2022 AT&T T Mobile Verizon,Apple,Good - Refurbished,64GB,0,149.99,249.99,0,50
